atomic_sent	atomic_label	subset	topics	authoritative_report_sent	authoritative_report_label	all_sent	all_label	always_sent	always_label	implication_sent	implication_label	instantiation_sent	instantiation_label	many_sent	many_label	some_sent	some_label	self_identification_sent	self_identification_label
Black men are rappers.	not abusive	potential stereotype	competence	According to survey data published in the journal of 'Media, Culture and Society', most people think that black men are rappers.	not abusive	All black men are rappers.	abusive	Black men are always rappers.	not abusive	If you are a black man, you are a rapper.	tie	Tyrone is black and he is a rapper.	not abusive	Many black men are rappers.	abusive	Some black men are rappers.	not abusive	We black men are rappers.	not abusive
Black people are populations with a mid to dark brown complexion.	not abusive	prevalent characteristic	outward_appearance, physiology/biology/medicine	According to survey data published in the journal of 'Current Anthropology', most people think that black people are populations with a mid to dark brown complexion.	not abusive	All black people are populations with a mid to dark brown complexion.	not abusive	Black people always are populations with a mid to dark brown complexion.	abusive	If you are black, you belong to a population with a mid to dark brown complexion.	not abusive	Shanice and Tyron are black and they belong to a population with a mid to dark brown complexion.	not abusive	not applicable	not applicable	not applicable	not applicable	We black people are populations with a mid to dark brown complexion.	not abusive
Black people are happy people.	not abusive	potential stereotype	character_traits/habit	A recent survey published in the 'Journal of Personality and Social Psychology' reported that black people are happy people.	not abusive	All black people are happy people.	abusive	Black people are always happy people.	not abusive	If you are black, you are happy.	abusive	Tyrone is black and he is happy.	not abusive	Many black people are happy people.	not abusive	Some black people are happy people.	not abusive	We black people are happy people.	not abusive
Black people have greater total body bone mineral mass than white people.	not abusive	prevalent characteristic	physiology/biology/medicine	A recent survey published in the journal of 'Current Anthropology' reported that black people have greater total body bone mineral mass than white people.	not abusive	All black people have greater total body bone mineral mass than white people.	not abusive	Black people always have greater total body bone mineral mass than white people.	not abusive	If you are black, you have greater total body bone mineral mass than white people.	not abusive	Tyrone is black and he has greater total body bone mineral mass than white men.	not abusive	Many black people have greater total body bone mineral mass than white people.	not abusive	Some black people have greater total body bone mineral mass than white people.	not abusive	We black people have greater total body bone mineral mass than white people.	not abusive
Black people are achievement-oriented.	not abusive	potential stereotype	character_traits/habit, work/education	Black people are achievement-oriented, most people seem to believe, according to a recent survey reported by the journal 'Work, Aging and Retirement'.	not abusive	All black people are achievement-oriented.	not abusive	Black people are always achievement-oriented.	not abusive	If you are black, you are achievement-oriented.	abusive	Tyrone is black and he is achievement-oriented.	not abusive	Many black people are achievement-oriented.	not abusive	Some black people are achievement-oriented.	not abusive	We black people are achievement-oriented.	not abusive
Black people have higher total bone density than white people.	not abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Current Anthropology', black people have higher total bone density than white people.	not abusive	All black people have higher total bone density than white people.	abusive	Black people always have higher total bone density than white people.	not abusive	If you are black, you have higher total bone density than white people.	not abusive	Tyrone is black and he has higher total bone density than white men.	not abusive	Many black people have higher total bone density than white people.	abusive	Some black people have higher total bone density than white people.	not abusive	We black people have higher total bone density than white people.	abusive
Black people come from Africa.	not abusive	potential stereotype	cultural/historical_characteristics	According to survey data published in the journal of 'Ethnic and Racial Studies', most people think that black people come from Africa.	not abusive	not applicable	not applicable	not applicable	not applicable	If you are black, you come from Africa.	abusive	Tyrone is black and he comes from Africa.	not abusive	Many black people come from Africa.	not abusive	Some black people come from Africa.	not abusive	We black people come from Africa.	not abusive
Black people have longer extremities than white people.	abusive	prevalent characteristic	physiology/biology/medicine	As reported by a recent survey published in the journal of 'Current Anthropology', black people have longer extremities than white people.	abusive	All black people have longer extremities than white people.	abusive	Black people always have longer extremities than white people.	abusive	If you are black, you have longer extremities than white people.	not abusive	Tyrone is black and he has longer extremities than white men.	not abusive	Many black people have longer extremities than white people.	not abusive	Some black people have longer extremities than white people.	abusive	We black people have longer extremities than white people.	abusive
Black people are basketball players.	abusive	potential stereotype	competence	A new survey published in the journal of 'Media, Culture and Society' has revealed that black people are basketball players.	not abusive	All black people are basketball players.	abusive	Black people are always basketball players.	abusive	If you are black, you are a basketball player.	abusive	Tyrone is black and he is a basketball player.	tie	Many black people are basketball players.	not abusive	Some black people are basketball players.	not abusive	We black people are basketball players.	not abusive
Black women attain a higher peak bone mineral mass than white women.	not abusive	prevalent characteristic	physiology/biology/medicine	According to survey data published in the 'Journal of Women's Health', most black people think that black women attain a higher peak bone mineral mass than white women.	abusive	All black women attain a higher peak bone mineral mass than white women.	not abusive	Black women always attain a higher peak bone mineral mass than white women.	not abusive	If you are a black woman, you attain a higher peak bone mineral mass than white women.	not abusive	Shanice is black and she attains a higher peak bone mineral mass than white women.	not abusive	Many black women attain a higher peak bone mineral mass than white women.	not abusive	Some black women attain a higher peak bone mineral mass than white women.	not abusive	We black women attain a higher peak bone mineral mass than white women.	not abusive
