atomic	atomic_rating	group	black_people_instance	black_people rating	gay_people_instance	gay_people_rating	jews_instance	jews_rating	muslims_instance	muslims_rating	women_instance	women_rating
Black people are happy people.	not abusive	black people	-	-	Gay people are happy people.	not abusive	Jews are happy people.	abusive	Muslims are happy people.	not abusive	Women are happy people.	not abusive
Black people are achievement-oriented.	not abusive	black people	-	-	Gay people are achievement-oriented.	not abusive	Jews are achievement-oriented.	not abusive	Muslims are achievement-oriented.	not abusive	Women are achievement-oriented.	not abusive
Black people are basketball players.	abusive	black people	-	-	Gay people are basketball players.	not abusive	Jews are basketball players.	not abusive	Muslims are basketball players.	not abusive	Women are basketball players.	not abusive
Black people are all satisfied.	abusive	black people	-	-	Gay people are all satisfied.	abusive	Jews are all satisfied.	abusive	Muslims are all satisfied.	not abusive	Women are all satisfied.	abusive
Black people are in a good mood.	not abusive	black people	-	-	Gay people are in a good mood.	abusive	Jews are in a good mood.	not abusive	Muslims are in a good mood.	not abusive	Women are in a good mood.	abusive
Black people are smiling.	not abusive	black people	-	-	Gay people are smiling.	not abusive	Jews are smiling.	not abusive	Muslims are smiling.	not abusive	Women are smiling.	not abusive
Black people are attractive.	not abusive	black people	-	-	Gay people are attractive.	abusive	Jews are attractive.	not abusive	Muslims are attractive.	not abusive	Women are attractive.	abusive
Black people are benevolent.	not abusive	black people	-	-	Gay people are benevolent.	not abusive	Jews are benevolent.	not abusive	Muslims are benevolent.	not abusive	Women are benevolent.	not abusive
Black people are bon vivant.	not abusive	black people	-	-	Gay people are bon vivant.	abusive	Jews are bon vivant.	abusive	Muslims are bon vivant.	not abusive	Women are bon vivant.	abusive
Black people are bursting with unspent vitality.	abusive	black people	-	-	Gay people are bursting with unspent vitality.	abusive	Jews are bursting with unspent vitality.	abusive	Muslims are bursting with unspent vitality.	not abusive	Women are bursting with unspent vitality.	abusive
Black people are charming.	not abusive	black people	-	-	Gay people are charming.	abusive	Jews are charming.	abusive	Muslims are charming.	not abusive	Women are charming.	not abusive
Black people tend to have prominent cheek bones.	not abusive	black people	-	-	Gay people tend to have prominent cheek bones.	abusive	Jews tend to have prominent cheek bones.	abusive	Muslims tend to have prominent cheek bones.	not abusive	Women tend to have prominent cheek bones.	not abusive
Black people are children of nature.	not abusive	black people	-	-	Gay people are children of nature.	abusive	Jews are children of nature.	not abusive	Muslims are children of nature.	not abusive	Women are children of nature.	abusive
Black people have kinky hair.	not abusive	black people	-	-	Gay people have kinky hair.	abusive	Jews have kinky hair.	abusive	Muslims have kinky hair.	not abusive	Women have kinky hair.	abusive
Black people are confident.	not abusive	black people	-	-	Gay people are confident.	abusive	Jews are confident.	abusive	Muslims are confident.	not abusive	Women are confident.	abusive
